"Timestamp","Test Number:","Are you satisfied with this round? Did you achieve what you expected?","Please rate your enjoyment in this round:","Please shortly describe your strategy in this round:","Additional comments for this round:"
"2018/05/15 3:56:10 PM MEZ","0704","5","5","Richtung Mitte des Kreises, dann angepasst und am Rand geblieben (Stage 2)",""
"2018/05/15 3:56:39 PM MEZ","0705","2","5","Loot Lake, dann Richtung Mitte",""
"2018/05/15 3:58:36 PM MEZ","0706","1","4","Zu den Moisty Mires, dann adaptiert, weil zu viele Spieler dort abgesprungen.",""
"2018/05/17 10:02:21 AM MEZ","0601","1","1","Drop onto Tilted Tower","Had to hover over weapon to see button for pickup."
"2018/05/17 10:03:18 AM MEZ","0602","4","3","Camp, try to get used to controller","Mistook hydrant for player"
"2018/05/17 10:04:15 AM MEZ","0603","2","4","Avoid other players dropping spots","Almost got one with the axe"
"2018/05/17 10:05:18 AM MEZ","0604","4","3","Keep a low profile after pushing early","my traps can kill after my death "":)"""
"2018/05/17 10:05:51 AM MEZ","0605","1","1","Be first to weapon",""
"2018/05/17 10:06:34 AM MEZ","0606","1","2","Just push the one guy in the building","lost the 1v1"
"2018/05/17 10:07:53 AM MEZ","0607","3","2","Watch people leave their safe places and catch them off guard",""
"2018/05/17 10:08:25 AM MEZ","0608","4","4","Don't panic.",""
"2018/05/17 11:56:20 AM MEZ","0510","4","4","Run away from threats
spawn at edge",""
"2018/05/17 12:39:14 PM MEZ","0901","3","1","learning the game","nothing worked"
"2018/05/17 12:39:49 PM MEZ","0902","5","2","surviving","saw no enemies"
"2018/05/17 12:41:37 PM MEZ","0903","2","2","try to repeat ""success"" from before","first encounter -> dead as usual"
"2018/05/17 12:44:56 PM MEZ","0904","3","3","getting Weapons early then flanking enemies ","something worked, yay "":)"""
"2018/05/17 1:36:09 PM MEZ","1311","4","4","Auf in die Stadt",""
"2018/05/17 1:36:37 PM MEZ","1312","4","4","Raus ins nichts",""
"2018/05/17 1:37:14 PM MEZ","1313","5","5","Weit draußen Aufrüsten dann in die Zone vorrücken",""
"2018/05/17 1:37:45 PM MEZ","1314","4","4","Weit außerhalb ausrüsten",""
"2018/05/17 1:38:33 PM MEZ","1315","5","5","Weit draußen starten
langsam rein",""
"2018/05/17 1:38:51 PM MEZ","1316","3","4","So wie davor",""
"2018/05/17 1:39:36 PM MEZ","1317","5","5","In die Stadt schnelles Spiel",""
"2018/05/17 1:39:57 PM MEZ","1318","5","5","Schnell in die Stadt",""
