video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale,Unnamed: 10
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111.mp4,9,03:02:29,03:05:14,0,100,0,00:02:45,round-20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111_9.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,32,07:53:47,07:57:55,0,100,0,00:04:08,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_32.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/Flopysock/20191130_5hchg8-B20SyvYkF2RHWPg_1575076848.mp4,5,01:07:55,01:22:20,0,100,0,00:14:25,round-20191130_5hchg8-B20SyvYkF2RHWPg_1575076848_5.csv,(1526x11)(1812x297),1.43
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753.mp4,2,00:22:24,00:36:42,0,100,0,00:14:18,round-20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753_2.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187.mp4,19,03:17:11,03:29:20,0,100,0,00:12:09,round-20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187_19.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191204_BK-6asxbjE6dU5n_2NG4DA_1575492719.mp4,1,00:05:17,00:18:02,0,100,0,00:12:45,round-20191204_BK-6asxbjE6dU5n_2NG4DA_1575492719_1.csv,(1603x12)(1889x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/Flopysock/20191130_5hchg8-B20SyvYkF2RHWPg_1575076848.mp4,6,01:26:05,01:35:38,0,100,0,00:09:33,round-20191130_5hchg8-B20SyvYkF2RHWPg_1575076848_6.csv,(1526x11)(1812x297),1.43
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753.mp4,3,00:38:42,00:50:15,0,100,0,00:11:33,round-20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753_3.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482.mp4,17,03:15:22,03:28:32,0,100,0,00:13:10,round-20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482_17.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753.mp4,4,00:51:51,00:55:13,0,100,0,00:03:22,round-20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753_4.csv,(1601x12)(1887x298),1.49
