video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,14,02:08:11,02:10:03,0,100,0,00:01:52,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_14.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,6,01:46:19,02:00:10,0,100,0,00:13:51,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_6.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191203_xSZHgv8LvEuzusiTgbUpxA_1575333209.mp4,1,00:04:31,00:08:31,0,100,0,00:04:00,round-20191203_xSZHgv8LvEuzusiTgbUpxA_1575333209_1.csv,(1526x11)(1812x297); 1.430
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,12,02:26:44,02:38:50,-1,100,0,00:12:06,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_12.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844.mp4,1,00:07:05,00:20:14,0,100,0,00:13:09,round-20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844_1.csv,(1523x51)(1809x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,7,02:01:50,02:11:44,0,100,0,00:09:54,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_7.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,8,02:17:02,02:20:15,0,100,0,00:03:13,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_8.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,9,02:23:50,02:25:58,0,100,0,00:02:08,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_9.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,15,02:11:54,02:29:58,0,100,0,00:18:04,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_15.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,16,02:32:08,02:37:45,0,100,0,00:05:37,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_16.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,17,02:39:40,02:40:53,0,100,0,00:01:13,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_17.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844.mp4,2,00:25:37,00:46:09,0,100,0,00:20:32,round-20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844_2.csv,(1523x51)(1809x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,10,02:27:57,02:43:08,-1,100,0,00:15:11,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_10.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,18,02:43:13,02:48:15,0,100,0,00:05:02,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_18.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191204__ncpS9dwm0yDBxfq3_-w0w_1575445502.mp4,1,00:36:11,00:49:48,0,100,0,00:13:37,round-20191204__ncpS9dwm0yDBxfq3_-w0w_1575445502_1.csv,(1507x51)(1793x337); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,13,02:38:50,02:57:30,-1,100,0,00:18:40,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_13.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,11,02:43:08,02:45:57,0,100,0,00:02:49,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_11.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844.mp4,3,00:54:29,01:03:05,0,100,0,00:08:36,round-20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844_3.csv,(1523x51)(1809x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,14,02:57:30,03:01:58,-1,100,0,00:04:28,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_14.csv,(1975x11)(2261x297); 1.187
